surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
-0.6086623165252,2.0,0,0,0,0,1,0,6.499
-1.1924754441542516,1.0,0,0,0,1,0,0,3.7
2.0491536115394777,5.0,0,0,0,0,0,0,13.0
1.3187207486611208,3.0,0,1,1,0,0,0,17.8
1.4013609630743655,3.0,0,0,0,1,0,0,9.6
3.536677470977883,5.0,0,1,0,0,0,0,18.8
-0.4300528208578645,2.0,0,0,0,0,0,0,6.88
0.2737219083388003,3.0,0,0,0,0,0,0,8.9
0.003141851469628,2.0,0,1,0,0,0,0,7.5
0.6949204205095315,2.0,0,0,0,1,0,0,7.9
-0.2221193781406681,3.0,0,0,0,0,0,1,5.4
-0.4007288738080035,2.0,0,1,0,0,0,0,7.4
0.7189127408230542,3.0,0,0,0,1,0,0,8.0
-0.278101458872221,2.0,1,1,0,0,0,0,9.5
0.5136451114740269,3.0,0,1,0,0,0,0,10.8
0.7269101809275618,3.0,0,1,0,0,0,0,12.9
-0.2274510048770065,2.0,0,1,0,0,0,0,8.149
2.001168970912432,4.0,0,1,0,0,0,0,13.5
0.1137731062486492,2.5,0,1,0,0,0,0,7.503
1.0094863979534954,3.0,0,1,0,0,0,0,13.9
-0.2887647123448977,2.0,0,1,0,0,0,0,7.45
-1.0698480292184689,1.0,0,1,0,0,1,0,3.9
-0.1154868434139007,2.0,0,0,0,0,0,0,7.300000000000001
1.01081930463758,3.0,1,1,0,0,0,0,17.5
-0.3980630604398343,2.0,0,1,0,0,0,0,5.056000000000001
-0.2940963390812361,2.0,0,0,0,0,0,0,11.8
0.3696911895928909,3.0,0,1,0,0,0,0,8.209999999999999
-0.2754356455040518,2.0,0,1,0,0,0,0,8.0
-0.37940236686265,2.0,0,0,0,0,0,0,6.88
-0.0568389493141786,3.0,0,0,0,1,0,0,6.1000000000000005
0.1857500671892172,2.0,0,1,0,0,0,0,5.7
-0.2221193781406681,2.0,0,0,0,0,0,0,7.9
4.141817105552288,4.5,1,1,0,0,0,0,42.0
-0.4753716481167407,2.0,0,0,0,0,0,0,4.55
-0.0754996428913629,2.0,0,0,0,1,0,0,6.1000000000000005
